Iteration max_z min_z max_grad min_grad
1 0.759198 7.15262e-44 0.675866 0.0561952
2 0.0160771 -0.0183178 1.30696 0.88148
3 0.00669357 -0.0135229 1.19593 0.93345
4 0.0044143 -0.00891514 1.13776 0.945163
5 0.00332941 -0.00652269 1.10665 0.952824
6 0.00270759 -0.00510202 1.08747 0.955718
7 0.00230712 -0.00417674 1.08035 0.956365
8 0.00202703 -0.00353394 1.07557 0.956868
9 0.00181815 -0.00306534 1.07094 0.958135
10 0.00165406 -0.00271008 1.06656 0.959923
11 0.00151955 -0.00243137 1.06249 0.962038
12 0.00140547 -0.00220588 1.05873 0.964334
13 0.00130607 -0.00202824 1.05528 0.966706
14 0.00121763 -0.00187508 1.05212 0.969078
15 0.0011377 -0.0017394 1.04923 0.971399
16 0.00106458 -0.00161763 1.04657 0.973635
17 0.000997127 -0.00150729 1.04413 0.975765
18 0.00093449 -0.0014066 1.04188 0.977775
19 0.000876058 -0.00131422 1.03981 0.979661
20 0.000821367 -0.00122916 1.03789 0.981422
21 0.000770055 -0.0011506 1.03611 0.983039
22 0.000721833 -0.00107791 1.03446 0.984271
23 0.000676463 -0.00101054 1.03293 0.98543
24 0.000633742 -0.000948011 1.0315 0.986519
25 0.000593498 -0.00088993 1.03016 0.987541
26 0.000555575 -0.000835931 1.02892 0.988499
27 0.000519836 -0.000785695 1.02775 0.989195
28 0.000486156 -0.000738929 1.02667 0.989589
29 0.00045442 -0.00069537 1.02564 0.989975
30 0.000424519 -0.000654777 1.02469 0.990352
31 0.000396354 -0.00061693 1.02379 0.990719
32 0.000369831 -0.000581626 1.02294 0.991075
33 0.000344863 -0.000548679 1.02215 0.991421
34 0.000321365 -0.000517919 1.0214 0.991757
35 0.000299257 -0.000489187 1.0207 0.992082
36 0.000278466 -0.000462339 1.02003 0.992395
37 0.00025892 -0.000437239 1.01941 0.992698
38 0.00024055 -0.000413765 1.01882 0.99299
39 0.000223294 -0.000391802 1.01826 0.993271
40 0.000207088 -0.000371245 1.01773 0.993542
41 0.000191876 -0.000351994 1.01723 0.993688
42 0.000177602 -0.000333961 1.01676 0.993678
43 0.000164213 -0.000317061 1.01631 0.993677
44 0.00015166 -0.000301217 1.01589 0.993683
45 0.000139895 -0.000286356 1.01549 0.993697
46 0.000128872 -0.000272413 1.0151 0.993718
47 0.000119549 -0.000259325 1.01474 0.993744
48 0.000111393 -0.000247035 1.0144 0.993776
49 0.000103741 -0.000235489 1.01407 0.993813
50 9.65634e-05 -0.00022464 1.01376 0.993855
51 8.98301e-05 -0.000214439 1.01346 0.9939
52 8.35144e-05 -0.000204846 1.01317 0.993949
53 7.83161e-05 -0.000195819 1.0129 0.994002
54 7.5271e-05 -0.000187323 1.01264 0.994057
55 7.23833e-05 -0.000179322 1.0124 0.994115
56 6.96425e-05 -0.000171785 1.01216 0.994175
57 6.7039e-05 -0.000164682 1.01193 0.994238
58 6.45639e-05 -0.000157984 1.01171 0.994302
59 6.22088e-05 -0.000151667 1.01151 0.994367
60 5.99662e-05 -0.000145706 1.01131 0.994434
61 5.78291e-05 -0.000140079 1.01111 0.994502
62 5.5791e-05 -0.000134764 1.01093 0.994571
63 5.38458e-05 -0.000129741 1.01075 0.994641
64 5.19879e-05 -0.000124993 1.01058 0.994711
65 5.02123e-05 -0.000120503 1.01041 0.994782
66 4.85142e-05 -0.000116254 1.01025 0.994853
67 4.6889e-05 -0.000112231 1.0101 0.994925
68 4.53327e-05 -0.000108421 1.00995 0.994996
69 4.38413e-05 -0.000104811 1.00981 0.995068
70 4.26756e-05 -0.000101388 1.00967 0.995139
71 4.23252e-05 -9.81402e-05 1.00953 0.995211
