Iteration max_z min_z max_grad min_grad
1 -1.36351e-42 -0.818107 10 0
2 -1.24018e-43 -0.0744106 1.81893 4.35196e-13
3 -1.13268e-44 -0.00679609 1.07482 4.27673e-10
4 0.00595471 -0.000644214 1.00686 4.26054e-07
5 0.751595 -0.019716 1.00072 0.000425174
6 0.22567 -0.0375831 1.09082 0.171941
7 0.0373843 -0.0322512 1.29541 0.450239
8 0.0156328 -0.0237176 1.30659 0.540747
9 0.00978715 -0.0179491 1.25883 0.552823
10 0.00733178 -0.0155714 1.21467 0.536736
11 0.00635763 -0.0114863 1.19435 0.503378
12 0.00573793 -0.00943548 1.18981 0.478529
13 0.00574499 -0.00920263 1.17704 0.464646
14 0.00583428 -0.00824771 1.15977 0.464785
15 0.00576564 -0.00825413 1.14089 0.485234
16 0.00557275 -0.00940748 1.12253 0.535897
17 0.0052886 -0.00856009 1.10979 0.618157
18 0.00494201 -0.00599556 1.10387 0.668235
19 0.00454883 -0.0033932 1.0979 0.663574
20 0.00412756 -0.00222707 1.09198 0.660539
21 0.00370328 -0.00201826 1.08615 0.659006
22 0.00329831 -0.00182847 1.09102 0.658638
23 0.00292701 -0.00165708 1.09266 0.659107
24 0.00259608 -0.00150348 1.09378 0.660166
25 0.00230677 -0.00139063 1.09432 0.661648
26 0.00205703 -0.00130911 1.0958 0.663452
27 0.0018431 -0.00123741 1.09928 0.665519
28 0.00166062 -0.00123093 1.10248 0.667816
29 0.00150521 -0.00120586 1.10536 0.670333
30 0.00137281 -0.00116644 1.1079 0.673069
31 0.00125985 -0.00111657 1.1101 0.67603
32 0.00116322 -0.00105969 1.11196 0.679226
33 0.00108031 -0.000998738 1.11351 0.682632
34 0.00100892 -0.00093609 1.11477 0.681409
35 0.00095737 -0.000902996 1.11576 0.680667
36 0.000934911 -0.000942038 1.11653 0.680332
37 0.000911904 -0.000974933 1.1171 0.680338
38 0.000888634 -0.00100129 1.1175 0.680623
39 0.00086533 -0.00102082 1.11789 0.681137
40 0.000842172 -0.00103339 1.12049 0.681835
41 0.000819299 -0.00103903 1.12325 0.68268
42 0.000796815 -0.00103792 1.12922 0.683645
43 0.0007748 -0.00103039 1.1347 0.684703
44 0.00075331 -0.00101695 1.13972 0.685838
45 0.000732385 -0.0009982 1.14429 0.687034
46 0.00071205 -0.000974831 1.14846 0.68828
47 0.000692322 -0.000947596 1.15224 0.689569
48 0.00067321 -0.000917262 1.15567 0.690894
49 0.000654716 -0.000884582 1.15878 0.692251
50 0.000640041 -0.00085027 1.16159 0.693636
51 0.000633711 -0.000814975 1.16413 0.695046
52 0.000627661 -0.000779271 1.16641 0.696481
53 0.000621844 -0.000743651 1.16847 0.697938
54 0.000616219 -0.000708519 1.17031 0.699416
55 0.000610745 -0.0006742 1.17195 0.700914
56 0.00060539 -0.00064094 1.17341 0.702433
57 0.000600126 -0.000608918 1.17471 0.703969
58 0.000594929 -0.000578256 1.17586 0.705524
59 0.000589782 -0.000549026 1.17687 0.707096
60 0.00058467 -0.000521258 1.17774 0.708684
61 0.000579584 -0.000495974 1.17849 0.710289
62 0.000574519 -0.000485242 1.17914 0.711908
63 0.000569472 -0.00047438 1.17967 0.711303
64 0.000564443 -0.000463433 1.18011 0.710205
65 0.000561063 -0.000452437 1.18045 0.709166
66 0.000557793 -0.00044142 1.18071 0.708183
67 0.000554529 -0.000430407 1.18089 0.707259
68 0.000551265 -0.000419416 1.18099 0.706391
69 0.000547999 -0.000408462 1.18101 0.705581
70 0.000544727 -0.000397556 1.18097 0.704828
71 0.000541452 -0.000386708 1.18085 0.704132
72 0.000538176 -0.000375925 1.18067 0.703492
73 0.000534902 -0.000365212 1.18043 0.702909
74 0.000531634 -0.000354574 1.18013 0.702381
75 0.000528379 -0.000358285 1.17978 0.701909
76 0.000525144 -0.000364577 1.17936 0.701493
77 0.000521934 -0.000370877 1.17889 0.70113
78 0.000518758 -0.000377204 1.17837 0.700821
79 0.000515624 -0.000383577 1.17779 0.700565
80 0.000512539 -0.000390013 1.17717 0.700361
81 0.000509511 -0.000396528 1.17649 0.700209
82 0.000506548 -0.000403139 1.17576 0.700106
83 0.000503657 -0.000409861 1.17499 0.700054
84 0.000500845 -0.000416708 1.17416 0.700049
85 0.000498118 -0.000423695 1.17329 0.700091
86 0.000495484 -0.000430835 1.17237 0.70018
87 0.000492948 -0.000438141 1.1714 0.700313
88 0.000490515 -0.000445627 1.17038 0.70049
89 0.000488189 -0.000453305 1.16931 0.700709
90 0.000485974 -0.000461186 1.1682 0.70097
91 0.000483874 -0.000469282 1.16703 0.701271
92 0.000481892 -0.000477603 1.16582 0.70161
93 0.000480029 -0.00048616 1.16455 0.701986
94 0.000478287 -0.000494963 1.16324 0.702399
95 0.000476668 -0.00050402 1.16188 0.702847
96 0.000475171 -0.000513339 1.16046 0.703328
97 0.000473796 -0.000522928 1.159 0.703842
98 0.000472543 -0.000532794 1.15748 0.704388
99 0.000471411 -0.000542941 1.15591 0.704963
100 0.000470398 -0.000553374 1.15428 0.705568
101 0.000469503 -0.000564094 1.1526 0.7062
102 0.000468723 -0.000575103 1.15087 0.70686
103 0.000468057 -0.000586399 1.14907 0.707546
104 0.0004675 -0.000597979 1.14723 0.708256
105 0.000467052 -0.000609836 1.14532 0.708991
106 0.000466707 -0.000621962 1.14336 0.709748
107 0.000466465 -0.000634345 1.14134 0.710528
108 0.000466321 -0.000646969 1.13926 0.711329
109 0.000466272 -0.000659814 1.13712 0.712151
110 0.000466316 -0.000672857 1.13492 0.712993
111 0.00046645 -0.000686069 1.13266 0.713854
112 0.000468131 -0.000699416 1.13034 0.714734
113 0.000470078 -0.000712859 1.12796 0.715631
114 0.000471551 -0.000726352 1.12603 0.716546
115 0.000473546 -0.000739845 1.12643 0.717477
116 0.000476705 -0.000753279 1.12681 0.718424
117 0.000479862 -0.000766591 1.12716 0.719387
118 0.000483016 -0.000779708 1.12749 0.720365
119 0.000486164 -0.000792553 1.12781 0.721358
120 0.000489307 -0.000805042 1.12809 0.722365
121 0.000492441 -0.000817084 1.12836 0.723386
122 0.000495566 -0.000828584 1.12861 0.72442
123 0.000498681 -0.000839442 1.12884 0.725467
124 0.000501785 -0.000849552 1.12905 0.726526
125 0.000504876 -0.000858809 1.12923 0.727599
126 0.000507953 -0.000867106 1.1294 0.728683
127 0.000511014 -0.000874336 1.12956 0.729779
128 0.000514057 -0.000880396 1.12969 0.730886
129 0.000517081 -0.000885186 1.12981 0.732004
130 0.000520082 -0.000888615 1.12991 0.733134
131 0.000523058 -0.000890599 1.12999 0.734274
132 0.000526006 -0.000891068 1.13006 0.735424
133 0.00052892 -0.000889963 1.13011 0.736585
134 0.000531937 -0.00088724 1.13015 0.737756
135 0.000535421 -0.000882873 1.13017 0.738936
136 0.000538861 -0.000876853 1.13018 0.740126
137 0.000542252 -0.000869189 1.13017 0.741325
138 0.000545588 -0.00085991 1.13015 0.742533
139 0.000548864 -0.000849061 1.13012 0.743749
140 0.000552074 -0.000836709 1.13007 0.744975
141 0.000555212 -0.000822933 1.13002 0.746208
142 0.000558272 -0.00080783 1.12995 0.747449
143 0.000561247 -0.000791508 1.12986 0.748698
144 0.000564133 -0.000774089 1.12977 0.749955
145 0.000566923 -0.0007557 1.12967 0.751218
146 0.000569612 -0.000736476 1.12955 0.752488
147 0.000572196 -0.000716554 1.12943 0.753765
148 0.000574669 -0.000696073 1.12929 0.755048
149 0.000577027 -0.000675169 1.12915 0.756336
150 0.000579266 -0.000653976 1.129 0.75763
151 0.000581384 -0.000632621 1.12883 0.758929
152 0.000583377 -0.000611224 1.12866 0.760233
153 0.000585243 -0.000589898 1.12849 0.761541
154 0.000586979 -0.000568745 1.1283 0.762854
155 0.000588584 -0.000547857 1.12811 0.76417
156 0.000590056 -0.000527316 1.1279 0.765489
157 0.000591396 -0.000507195 1.1277 0.766812
158 0.000592602 -0.000487553 1.12748 0.768137
159 0.000593674 -0.000468442 1.12726 0.769464
160 0.000594612 -0.000449903 1.12703 0.770793
161 0.000595416 -0.000431967 1.1268 0.772124
162 0.000596088 -0.00041466 1.12656 0.773456
163 0.000596628 -0.000397996 1.12632 0.774789
164 0.000597037 -0.000396509 1.12607 0.776123
165 0.000597316 -0.000395761 1.12582 0.777457
166 0.000597467 -0.000394917 1.12556 0.778791
167 0.000597492 -0.000393953 1.1253 0.779237
168 0.000597391 -0.000392842 1.12504 0.778859
169 0.000597168 -0.000391557 1.12477 0.778476
170 0.000596823 -0.000390067 1.1245 0.778088
171 0.000596359 -0.000388345 1.12423 0.777694
172 0.000595779 -0.000386359 1.12395 0.777295
173 0.000595083 -0.00038408 1.12367 0.776891
174 0.000594275 -0.000381479 1.12339 0.776483
175 0.000593357 -0.000378528 1.1231 0.77607
176 0.00059233 -0.000375202 1.12282 0.775653
177 0.000591198 -0.000371476 1.12253 0.775232
178 0.000589963 -0.000367328 1.12224 0.774807
179 0.000588627 -0.000362741 1.12194 0.774379
180 0.000587192 -0.000357699 1.12165 0.773947
181 0.00058566 -0.000352192 1.12135 0.773513
182 0.000584035 -0.000346214 1.12106 0.773076
183 0.000582318 -0.000339761 1.12076 0.772636
184 0.000580512 -0.000332837 1.12046 0.772194
185 0.000578619 -0.000325449 1.12016 0.771749
186 0.000576641 -0.000317608 1.11986 0.771303
187 0.000574582 -0.000309332 1.11956 0.770855
188 0.000572618 -0.00030064 1.11926 0.770406
189 0.000570878 -0.000291558 1.11896 0.769956
190 0.000569067 -0.000282114 1.11865 0.769504
191 0.000567189 -0.000272341 1.11835 0.769052
192 0.000565246 -0.000262274 1.11805 0.768599
193 0.00056324 -0.000251948 1.11774 0.768146
194 0.000561174 -0.000241405 1.11744 0.767693
195 0.000559052 -0.000230683 1.11714 0.767239
196 0.000557121 -0.000219824 1.11683 0.766787
197 0.000556592 -0.000208868 1.11653 0.766335
198 0.000555979 -0.000202889 1.11622 0.765883
199 0.000555285 -0.000200127 1.11592 0.765433
200 0.000554512 -0.00019738 1.11561 0.764984
201 0.000553662 -0.000194646 1.11531 0.764536
202 0.000552738 -0.000191927 1.115 0.76409
203 0.000551744 -0.000189223 1.1147 0.763646
204 0.000550681 -0.000186535 1.1144 0.763204
205 0.000549554 -0.000183861 1.11409 0.762764
206 0.000548366 -0.000181204 1.11379 0.762327
207 0.00054712 -0.000178561 1.11348 0.761893
208 0.000545821 -0.000175935 1.11318 0.761462
209 0.000544472 -0.000173324 1.11287 0.761034
210 0.000543076 -0.000170728 1.11257 0.760609
211 0.000541639 -0.000168148 1.11226 0.760188
212 0.000540162 -0.000165584 1.11196 0.759771
213 0.000538652 -0.000163036 1.11165 0.759358
214 0.000537111 -0.000160504 1.11134 0.758949
215 0.000535543 -0.000157988 1.11104 0.758545
216 0.000533953 -0.000155488 1.11073 0.758145
217 0.000532344 -0.000153005 1.11042 0.757751
218 0.00053072 -0.000150538 1.11012 0.757362
219 0.000529085 -0.000148088 1.10981 0.756978
220 0.000527442 -0.000145655 1.1095 0.756599
221 0.000525796 -0.000143238 1.10919 0.756227
222 0.00052415 -0.000140839 1.10888 0.75586
223 0.000522508 -0.000138458 1.10857 0.7555
224 0.000520872 -0.000136094 1.10826 0.755147
225 0.000519247 -0.000133748 1.10794 0.7548
226 0.000517636 -0.000131419 1.10763 0.754461
227 0.000516042 -0.000129109 1.10732 0.754128
228 0.000514469 -0.000126816 1.107 0.753803
229 0.00051292 -0.000124542 1.10668 0.753486
230 0.000511397 -0.000122286 1.10688 0.753178
231 0.000509904 -0.000120047 1.10713 0.752877
232 0.000508445 -0.000117827 1.1074 0.752585
233 0.000507022 -0.000115625 1.10766 0.752302
234 0.000505637 -0.00011344 1.10793 0.752029
235 0.000504296 -0.000111513 1.1082 0.751765
236 0.000502999 -0.000110065 1.10847 0.751511
237 0.00050175 -0.000108607 1.10875 0.751267
238 0.000500552 -0.000107138 1.10903 0.751034
239 0.000499407 -0.000105659 1.10931 0.750812
240 0.000498319 -0.000105369 1.10959 0.750601
241 0.00049729 -0.000106008 1.10988 0.750402
242 0.000496324 -0.000106647 1.11017 0.750215
243 0.000495421 -0.000107284 1.11045 0.75004
244 0.000494587 -0.000107922 1.11075 0.749879
245 0.000493822 -0.00010856 1.11104 0.749719
246 0.00049313 -0.000109199 1.11134 0.749497
247 0.000492512 -0.000109839 1.11163 0.749291
248 0.000491973 -0.000110482 1.11193 0.749101
249 0.000491513 -0.000111126 1.11223 0.748928
250 0.000491135 -0.000111773 1.11254 0.748772
251 0.000490842 -0.000112424 1.11284 0.748634
252 0.000490635 -0.000113078 1.11314 0.748516
253 0.000490517 -0.000113737 1.11345 0.748416
254 0.000490489 -0.000114401 1.11376 0.748338
255 0.000490553 -0.00011507 1.11407 0.74828
256 0.00049071 -0.000115745 1.11438 0.748245
257 0.000490962 -0.000116852 1.11469 0.748232
258 0.000491311 -0.000118412 1.11501 0.748244
259 0.000491756 -0.000119924 1.11532 0.74828
260 0.000492298 -0.000121379 1.11563 0.748342
261 0.000492938 -0.00012277 1.11595 0.74843
262 0.000493676 -0.000124087 1.11627 0.748547
263 0.000494511 -0.000125323 1.11659 0.748692
