Iteration max_z min_z max_grad min_grad
1 0.205275 -0.183331 31.7866 0.687946
2 0.172838 -0.154687 27.5362 0.602171
3 0.144445 -0.129567 26.8828 0.531205
4 0.120602 -0.10849 26.3729 0.472672
5 0.100753 -0.0909468 25.9736 0.424582
6 0.0842906 -0.0763823 25.6593 0.385293
7 0.0706573 -0.0643299 25.4105 0.353456
8 0.059393 -0.0544018 25.2122 0.327956
9 0.050111 -0.046289 25.0532 0.307876
10 0.0424958 -0.0397344 24.9246 0.292453
11 0.0362994 -0.0344835 24.8199 0.281061
12 0.031308 -0.0302297 24.7339 0.273191
13 0.0273323 -0.0266893 24.6625 0.0456481
14 0.0256514 -0.0237026 24.6023 0.154128
15 0.0224778 -0.0210531 24.5507 0.266973
16 0.0212901 -0.0185712 24.506 0.262744
17 0.0192894 -0.0162538 24.4671 0.201848
18 0.0171177 -0.0141477 24.433 0.114755
19 0.0151432 -0.012286 24.4031 0.125195
20 0.013369 -0.0106666 24.3769 0.183698
21 0.011772 -0.00927087 24.354 0.190399
22 0.0103449 -0.00806791 24.3341 0.182257
23 0.00907653 -0.00703397 24.3167 0.175746
24 0.00795618 -0.00614666 24.3016 0.170846
25 0.00697197 -0.00538597 24.2885 0.167616
26 0.0061112 -0.00484225 24.2771 0.166184
27 0.00536098 -0.00455015 24.2672 0.166731
28 0.00502851 -0.00429264 24.2586 0.169466
29 0.00487639 -0.00411115 24.2512 0.174593
30 0.00477055 -0.00394306 24.2447 0.182264
31 0.00471753 -0.00377876 24.2391 0.184315
32 0.00472002 -0.00380638 24.2343 0.176442
33 0.00476235 -0.00390296 24.2301 0.174473
34 0.0048024 -0.0040779 24.2264 0.182719
35 0.00479416 -0.00431811 24.2233 0.200134
36 0.00471712 -0.00457259 24.2206 0.188764
37 0.00457487 -0.00476911 24.2183 0.173267
38 0.00438042 -0.00485649 24.2163 0.161236
39 0.00414868 -0.00482455 24.2146 0.153408
40 0.00389378 -0.00469257 24.2131 0.150294
41 0.0036277 -0.00449025 24.2119 0.151926
42 0.00335986 -0.00424525 24.2108 0.157746
43 0.00309715 -0.00397851 24.2099 0.166759
44 0.00284433 -0.00370448 24.2091 0.177867
45 0.00260448 -0.00343268 24.2085 0.190135
46 0.00237943 -0.0031692 24.2079 0.202895
47 0.00217006 -0.00307909 24.2074 0.215716
48 0.00204021 -0.00304686 24.207 0.228337
49 0.00199458 -0.00300481 24.2067 0.240609
50 0.00195938 -0.00295321 24.2064 0.252451
51 0.00191815 -0.0028927 24.2062 0.263827
52 0.00187114 -0.00282415 24.206 0.274725
53 0.00181883 -0.00274864 24.2059 0.285149
54 0.00176181 -0.00266732 24.2057 0.29511
55 0.00170079 -0.00258136 24.2056 0.304623
56 0.00163656 -0.00249187 24.2056 0.31004
57 0.00156989 -0.00239992 24.2055 0.309519
58 0.00150157 -0.00230645 24.2055 0.309183
59 0.00143235 -0.00221234 24.2054 0.309032
60 0.00136293 -0.0021183 24.2054 0.309062
61 0.00129393 -0.002025 24.2054 0.309273
62 0.00122588 -0.00193296 24.2054 0.309666
63 0.00115928 -0.00184262 24.2054 0.310241
64 0.00109903 -0.00175436 24.2054 0.310999
65 0.00107975 -0.00166847 24.2054 0.311943
66 0.00106264 -0.00158517 24.2055 0.313075
67 0.0010458 -0.00150463 24.2055 0.314398
68 0.00102926 -0.00142698 24.2055 0.315916
69 0.00101304 -0.00135229 24.2055 0.317632
70 0.000997154 -0.00128061 24.2055 0.319549
71 0.00098162 -0.00121195 24.2055 0.321672
72 0.000966448 -0.0011463 24.2055 0.324003
73 0.000951647 -0.00108814 24.2055 0.326547
74 0.000937224 -0.00107244 24.2055 0.329305
75 0.000923186 -0.00105569 24.2056 0.332281
76 0.00090954 -0.00103806 24.2056 0.335477
77 0.000896292 -0.00101974 24.2056 0.338894
78 0.000883445 -0.00100086 24.2055 0.342533
79 0.000876592 -0.000981575 24.2055 0.346394
80 0.000873868 -0.000961999 24.2055 0.350476
81 0.000871044 -0.000942245 24.2055 0.354778
82 0.00086806 -0.000922409 24.2055 0.357337
83 0.000864854 -0.000902577 24.2055 0.353633
84 0.000861363 -0.000882825 24.2055 0.34996
85 0.000857526 -0.000863217 24.2055 0.34632
86 0.000853283 -0.000843811 24.2055 0.342712
87 0.000848577 -0.000824655 24.2054 0.339138
88 0.000843353 -0.000815438 24.2054 0.335597
89 0.000837562 -0.000808916 24.2054 0.332091
90 0.000831158 -0.000802093 24.2054 0.328619
91 0.000824103 -0.000795003 24.2054 0.325183
92 0.000821256 -0.000787677 24.2053 0.321783
93 0.000821632 -0.000780146 24.2053 0.318419
94 0.000821589 -0.000772439 24.2053 0.315091
95 0.000821129 -0.000764585 24.2053 0.311802
96 0.000820257 -0.000760822 24.2052 0.308549
97 0.000818977 -0.00078601 24.2052 0.305335
98 0.000817297 -0.000809655 24.2052 0.30216
99 0.000815225 -0.00083161 24.2051 0.299024
100 0.000812771 -0.000851753 24.2051 0.295927
101 0.000809944 -0.000869992 24.2051 0.292871
102 0.000806757 -0.000886262 24.2051 0.289855
103 0.00080322 -0.000900524 24.205 0.286881
104 0.000799345 -0.000912766 24.205 0.283948
105 0.000795144 -0.000922999 24.205 0.281058
106 0.000790631 -0.00093125 24.205 0.278211
107 0.000785817 -0.000937569 24.205 0.275408
108 0.000780716 -0.000942016 24.2049 0.272649
109 0.00077534 -0.000944666 24.2049 0.269936
110 0.0007697 -0.000945602 24.2049 0.267269
111 0.00076381 -0.000944916 24.2049 0.26465
112 0.000757682 -0.000942704 24.2049 0.262079
113 0.000751326 -0.000939066 24.2048 0.259559
