Iteration max_z min_z max_grad min_grad
1 1.11951 -1.00005 31.7866 0.687946
2 0.145262 -0.15328 24.6725 0.115198
3 0.0753474 -0.0533247 24.3598 0.160838
4 0.029259 -0.0250718 24.2493 0.155555
5 0.0252781 -0.0247157 24.2175 0.179957
6 0.02207 -0.025682 24.2082 0.144833
7 0.0141318 -0.017102 24.2056 0.141948
8 0.00978707 -0.0155211 24.205 0.223869
9 0.00908738 -0.0130914 24.205 0.287783
10 0.00755748 -0.0102007 24.2052 0.289118
11 0.00567651 -0.00754363 24.2055 0.285342
12 0.00517844 -0.00665722 24.2057 0.283229
13 0.00485812 -0.00647552 24.2058 0.282272
14 0.00458731 -0.00594244 24.2058 0.282446
15 0.00435282 -0.00527535 24.2058 0.284137
16 0.00414126 -0.00461707 24.2057 0.288119
17 0.00394789 -0.00403671 24.2056 0.295527
18 0.00377593 -0.00379603 24.2055 0.296112
19 0.0036317 -0.00368553 24.2054 0.279689
20 0.00363347 -0.00375729 24.2054 0.264452
21 0.00379609 -0.00373798 24.2053 0.250445
22 0.00388945 -0.00361848 24.2053 0.23776
23 0.00391488 -0.00340401 24.2052 0.226605
24 0.00388034 -0.00329201 24.2052 0.217431
25 0.00379527 -0.00321021 24.2052 0.211165
26 0.00366763 -0.00318496 24.2052 0.209579
27 0.00350349 -0.00318968 24.2052 0.215652
28 0.00330851 -0.00327844 24.2051 0.233248
29 0.00308997 -0.00338064 24.2051 0.265033
30 0.00288226 -0.00320069 24.2051 0.304862
31 0.00273496 -0.00296932 24.2051 0.3205
32 0.00256908 -0.00296755 24.205 0.340441
33 0.00243812 -0.00297021 24.205 0.364754
34 0.00233768 -0.00321114 24.2049 0.393064
35 0.00217937 -0.00336934 24.2049 0.424585
36 0.00197222 -0.00344511 24.2048 0.43082
37 0.0020347 -0.00345278 24.2047 0.430891
38 0.0021184 -0.00341154 24.2047 0.431003
39 0.00218893 -0.00333807 24.2046 0.431145
40 0.00224877 -0.00324346 24.2046 0.43131
41 0.00229941 -0.0031336 24.2045 0.431489
42 0.00234081 -0.00301091 24.2045 0.43168
43 0.00237121 -0.0028762 24.2044 0.431878
44 0.00238739 -0.00272999 24.2044 0.432082
45 0.00238519 -0.00264857 24.2043 0.432292
46 0.00236049 -0.00258907 24.2043 0.432507
47 0.00231032 -0.00250242 24.2043 0.432727
48 0.00223392 -0.00239035 24.2043 0.432953
49 0.00213325 -0.00238486 24.2042 0.433186
50 0.00201289 -0.00248679 24.2042 0.433427
51 0.00187924 -0.00255471 24.2042 0.433676
52 0.00173929 -0.00258053 24.2042 0.433934
53 0.00159958 -0.00255897 24.2042 0.4342
54 0.00157283 -0.00248895 24.2042 0.434475
55 0.00155366 -0.00246122 24.2042 0.434758
56 0.00165377 -0.00273618 24.2042 0.435046
57 0.00182257 -0.00301087 24.2042 0.435339
58 0.00198376 -0.00326975 24.2042 0.435633
59 0.00213189 -0.00349029 24.2042 0.435926
60 0.00226089 -0.00364565 24.2042 0.436214
61 0.00236458 -0.00371061 24.2042 0.436496
62 0.00243739 -0.00366932 24.2042 0.436765
63 0.00247519 -0.00352151 24.2042 0.437019
64 0.00247595 -0.00328346 24.2042 0.437255
65 0.00244011 -0.0029831 24.2042 0.437467
66 0.00237059 -0.00265198 24.2042 0.437655
67 0.00227227 -0.00231807 24.2042 0.437815
68 0.00215138 -0.00200178 24.2042 0.437946
69 0.00201462 -0.00171525 24.2042 0.438048
70 0.00206953 -0.00146372 24.2042 0.438121
71 0.00242878 -0.00128046 24.2042 0.438166
72 0.00284074 -0.00124183 24.2042 0.438185
73 0.00329241 -0.00120273 24.2042 0.438181
74 0.00375204 -0.00123893 24.2042 0.438156
75 0.00416475 -0.00136354 24.2042 0.438116
76 0.00445858 -0.00149351 24.2042 0.438065
77 0.00456634 -0.00162849 24.2042 0.438009
78 0.00445572 -0.00177188 24.2042 0.437956
79 0.00414654 -0.0019304 24.2041 0.437915
80 0.00370093 -0.0021112 24.2041 0.437893
81 0.00319522 -0.0023181 24.2041 0.437902
82 0.00269402 -0.00254875 24.2041 0.437948
83 0.00223847 -0.00279321 24.204 0.438037
84 0.00184712 -0.00303387 24.204 0.438167
85 0.00152281 -0.00324683 24.204 0.438334
86 0.00138334 -0.00340524 24.204 0.438531
87 0.00132298 -0.00348482 24.2039 0.438748
88 0.00126174 -0.00346996 24.2039 0.438973
89 0.00128082 -0.00335807 24.2039 0.439199
90 0.00130164 -0.00316002 24.2038 0.439418
