Iteration max_z min_z max_grad min_grad
1 1.23145 -1.10005 31.7866 0.687946
2 0.111344 -0.106689 24.4328 0.128083
3 0.0331897 -0.0288611 24.2502 0.15798
4 0.0276856 -0.0297461 24.2153 0.17281
5 0.0227239 -0.0223738 24.2076 0.147071
6 0.0128317 -0.0179726 24.2056 0.152938
7 0.0101327 -0.0152598 24.2052 0.213858
8 0.00865916 -0.0118033 24.2053 0.269062
9 0.00662673 -0.00855466 24.2056 0.298964
10 0.00571994 -0.00673716 24.2059 0.299985
11 0.00540987 -0.00728542 24.206 0.304723
12 0.00513433 -0.0071022 24.206 0.313625
13 0.00489518 -0.0064586 24.2059 0.327623
14 0.00467541 -0.00565443 24.2058 0.341817
15 0.0044632 -0.00488009 24.2057 0.320679
16 0.00425963 -0.00421852 24.2057 0.300886
17 0.00407335 -0.00399299 24.2056 0.282471
18 0.0039125 -0.00366163 24.2056 0.265461
19 0.00378043 -0.00367156 24.2055 0.249895
20 0.00367476 -0.00366141 24.2056 0.235877
21 0.00364565 -0.00361923 24.2056 0.223687
22 0.00411609 -0.00355645 24.2056 0.214018
23 0.00423914 -0.00347992 24.2057 0.208444
24 0.00400313 -0.00352733 24.2058 0.210186
25 0.00351516 -0.00356729 24.2058 0.224557
26 0.00311526 -0.00379319 24.2059 0.256938
27 0.00298131 -0.00361659 24.2059 0.307331
28 0.0028267 -0.00338457 24.206 0.368331
29 0.00264541 -0.00338036 24.206 0.429595
30 0.00252156 -0.00337164 24.206 0.429486
31 0.00232564 -0.00340437 24.206 0.429461
32 0.00205802 -0.0034757 24.206 0.429491
33 0.00175402 -0.00341001 24.206 0.429548
34 0.00153318 -0.00322004 24.206 0.429606
35 0.00169385 -0.00312334 24.206 0.429643
36 0.00186335 -0.00304778 24.206 0.429645
37 0.00197783 -0.00299138 24.206 0.429601
38 0.00202184 -0.00289917 24.206 0.429512
39 0.00206397 -0.0027766 24.206 0.42938
40 0.00221617 -0.00267982 24.2059 0.429214
41 0.00232745 -0.00260308 24.2059 0.429026
42 0.00238157 -0.00255358 24.2059 0.428826
43 0.00236774 -0.00259963 24.2059 0.428623
44 0.00228392 -0.00262454 24.2059 0.428428
45 0.00213766 -0.00262664 24.2059 0.428247
46 0.00194415 -0.0026056 24.2059 0.428087
47 0.00172233 -0.00271849 24.2059 0.427953
48 0.0014908 -0.00314985 24.2059 0.427849
49 0.00139395 -0.00357026 24.2059 0.427774
50 0.00161903 -0.00393348 24.2058 0.427729
51 0.00184946 -0.00418721 24.2058 0.427707
52 0.00208047 -0.00428836 24.2058 0.427701
53 0.0023051 -0.00421959 24.2058 0.427703
54 0.00251392 -0.00399637 24.2058 0.427703
55 0.00269524 -0.00366006 24.2058 0.427692
56 0.00283622 -0.00326221 24.2058 0.427664
57 0.00292492 -0.00284986 24.2059 0.427616
58 0.00295284 -0.00245752 24.2059 0.427543
59 0.00291707 -0.00228117 24.2059 0.427445
60 0.00282117 -0.00235628 24.2059 0.42732
61 0.00267435 -0.00240493 24.2059 0.427169
62 0.00248942 -0.00241989 24.2059 0.426994
63 0.00284236 -0.00239623 24.2059 0.426801
64 0.00335161 -0.00233262 24.2059 0.426596
65 0.00388967 -0.00223205 24.2059 0.426389
66 0.00439619 -0.00210139 24.2059 0.426189
67 0.00478082 -0.00211581 24.2059 0.426004
68 0.00494764 -0.00212669 24.2059 0.425842
69 0.00484006 -0.00212068 24.2059 0.425704
70 0.00447522 -0.00209857 24.2059 0.425592
71 0.00393621 -0.00206153 24.2059 0.425508
72 0.00332935 -0.00201123 24.2058 0.425458
73 0.0027423 -0.00194984 24.2058 0.425453
