Iteration max_z min_z max_grad min_grad
1 0.109664 3.62889e-44 0.822629 0.129956
2 0.523079 -0.0299144 0.877221 0.255734
3 0.108208 -0.00915692 3.0769 0.180569
4 0.0810668 2.57517e-44 2.69021 0.310843
5 0.0318709 -0.0134955 2.59209 0.457035
6 0.0262098 -0.0182509 2.37348 0.520357
7 0.0215494 -0.0165264 2.15775 0.572064
8 0.0178542 -0.0141465 1.97439 0.617612
9 0.0149009 -0.0118961 1.82084 0.658076
10 0.0125002 -0.00992586 1.69261 0.693947
11 0.0105274 -0.00824461 1.58554 0.725644
12 0.00889519 -0.00682681 1.49609 0.753548
13 0.00753901 -0.00563943 1.42126 0.778033
14 0.00640902 -0.00464947 1.3586 0.799458
15 0.00546573 -0.00382651 1.30603 0.818169
16 0.0046773 -0.00314356 1.26185 0.83449
17 0.00401772 -0.00257719 1.22464 0.845557
18 0.00349806 -0.00210743 1.19323 0.853531
19 0.00306973 -0.00171746 1.16664 0.860856
20 0.00270856 -0.00139328 1.14409 0.867596
21 0.0024035 -0.00112326 1.1333 0.873804
22 0.00214534 -0.000902743 1.13169 0.878823
23 0.00192638 -0.000898828 1.13001 0.88056
24 0.00174019 -0.000889486 1.12827 0.882259
25 0.00158141 -0.000876331 1.12649 0.883928
26 0.00144561 -0.000860609 1.1247 0.885569
27 0.00132908 -0.000843277 1.1229 0.887186
28 0.00122873 -0.000825059 1.12111 0.88878
29 0.001142 -0.000806497 1.11945 0.890351
30 0.00106676 -0.000787987 1.11782 0.8919
31 0.00100124 -0.000769814 1.11621 0.892597
32 0.000943948 -0.000752172 1.11461 0.892889
33 0.000893648 -0.000735191 1.11303 0.893233
34 0.000849305 -0.000718948 1.11148 0.893626
35 0.000810052 -0.000703479 1.10995 0.894063
36 0.000775158 -0.000688794 1.10845 0.894543
37 0.000744629 -0.000684281 1.10697 0.895061
38 0.000719163 -0.000690031 1.10552 0.895615
39 0.00069634 -0.000693439 1.1041 0.896203
40 0.000675782 -0.000694838 1.1027 0.89682
41 0.000657171 -0.000694521 1.10133 0.897466
42 0.000640237 -0.000692747 1.09999 0.898136
43 0.000624753 -0.000689745 1.09867 0.898828
44 0.000610525 -0.000685714 1.09738 0.899541
45 0.000597388 -0.000680828 1.09611 0.900272
46 0.000585201 -0.000675237 1.09487 0.90102
47 0.000573844 -0.000669073 1.09365 0.901782
48 0.000563216 -0.000662446 1.09246 0.902556
49 0.000553227 -0.000655452 1.09129 0.903341
50 0.000543803 -0.000648175 1.09015 0.904136
51 0.000534878 -0.000640684 1.08902 0.904939
52 0.000527539 -0.000633038 1.08792 0.905748
53 0.000524106 -0.000625287 1.08684 0.906564
54 0.000520426 -0.000617474 1.08578 0.907383
55 0.000516537 -0.000609633 1.08473 0.908207
56 0.000512472 -0.000601796 1.08371 0.909032
57 0.000508257 -0.000593985 1.08271 0.90986
58 0.000503919 -0.000586221 1.08172 0.910688
59 0.000499479 -0.000578521 1.08076 0.911516
60 0.000494957 -0.000570897 1.07981 0.912344
61 0.000490369 -0.000563361 1.07887 0.91317
62 0.000485729 -0.000555919 1.07796 0.913995
63 0.000481052 -0.00054858 1.07706 0.914817
64 0.000476348 -0.000541347 1.07617 0.915636
65 0.000471627 -0.000534224 1.0753 0.916453
66 0.000466897 -0.000527213 1.07445 0.917265
67 0.000462167 -0.000520315 1.0736 0.918074
68 0.000457443 -0.000513531 1.07278 0.918878
69 0.00045273 -0.00050686 1.07196 0.919677
70 0.000448035 -0.000500303 1.07116 0.920472
71 0.00044336 -0.000493857 1.07037 0.921262
72 0.00043871 -0.000487521 1.0696 0.922046
73 0.000434089 -0.000481294 1.06884 0.922824
74 0.000429498 -0.000475174 1.06808 0.923597
75 0.000424941 -0.000469159 1.06734 0.924363
76 0.000420419 -0.000463245 1.06662 0.925124
77 0.000415934 -0.000457432 1.0659 0.925879
78 0.000411487 -0.000451717 1.06519 0.926627
79 0.000407081 -0.000446097 1.0645 0.927368
80 0.000402715 -0.00044057 1.06381 0.928104
81 0.000398391 -0.000435134 1.06313 0.928832
82 0.000394109 -0.000430076 1.06247 0.929554
83 0.00038987 -0.000425228 1.06181 0.93027
84 0.000385674 -0.000420448 1.06116 0.930978
85 0.000381521 -0.000415734 1.06052 0.93168
86 0.000377412 -0.000411084 1.05989 0.932375
87 0.000373346 -0.000406498 1.05927 0.933064
88 0.000369324 -0.000401973 1.05866 0.933745
89 0.000365345 -0.000397508 1.05806 0.93442
90 0.00036141 -0.000393101 1.05746 0.935088
91 0.000357517 -0.000388752 1.05687 0.935749
92 0.000353668 -0.000384458 1.05629 0.936404
93 0.000349861 -0.000380219 1.05572 0.937052
94 0.000346097 -0.000376032 1.05515 0.937693
95 0.000342374 -0.000371898 1.0546 0.938327
96 0.000338694 -0.000367815 1.05405 0.938955
97 0.000335054 -0.000363782 1.0535 0.939576
98 0.000331456 -0.000359797 1.05297 0.94019
99 0.000327897 -0.00035586 1.05244 0.940798
100 0.000324379 -0.00035197 1.05191 0.9414
101 0.000320901 -0.000348126 1.0514 0.941995
102 0.000317575 -0.000344327 1.05089 0.942583
103 0.000314307 -0.000340572 1.05038 0.943166
104 0.000311075 -0.00033686 1.04989 0.943741
105 0.000307878 -0.000333191 1.04939 0.944311
106 0.000304717 -0.000329564 1.04891 0.944875
107 0.00030159 -0.000325979 1.04843 0.945432
108 0.000298498 -0.000322433 1.04796 0.945983
109 0.000295439 -0.000318928 1.04749 0.946528
110 0.000292414 -0.000315462 1.04703 0.947067
111 0.000289422 -0.000312035 1.04657 0.9476
112 0.000286462 -0.000308645 1.04612 0.948128
113 0.000283534 -0.000305294 1.04567 0.948649
114 0.000280638 -0.000301979 1.04523 0.949165
115 0.000277773 -0.000298701 1.0448 0.949675
116 0.00027494 -0.000295459 1.04437 0.950179
117 0.000272137 -0.000292252 1.04394 0.950678
118 0.000269364 -0.00028908 1.04352 0.951171
119 0.000266621 -0.000285943 1.04311 0.951659
120 0.000263907 -0.000282841 1.0427 0.952142
121 0.000261223 -0.000279771 1.04229 0.952619
122 0.000258567 -0.000276736 1.04189 0.95309
123 0.00025594 -0.000273733 1.04149 0.953557
124 0.000253341 -0.000270762 1.0411 0.954018
125 0.00025077 -0.000267824 1.04072 0.954474
126 0.000248226 -0.000264918 1.04033 0.954925
127 0.00024571 -0.000262043 1.03995 0.955372
128 0.00024322 -0.000259199 1.03958 0.955813
129 0.000240757 -0.000256386 1.03921 0.956249
130 0.00023832 -0.000253603 1.03884 0.95668
131 0.000235909 -0.00025085 1.03848 0.957107
132 0.000233523 -0.000248127 1.03812 0.957529
133 0.000231163 -0.000245433 1.03777 0.957946
134 0.000228828 -0.000242769 1.03742 0.958359
135 0.000226518 -0.000240133 1.03707 0.958767
136 0.000224232 -0.000237525 1.03673 0.95917
137 0.00022197 -0.000234946 1.03639 0.959569
138 0.000219732 -0.000232395 1.03606 0.959964
139 0.000217518 -0.000229871 1.03573 0.960354
140 0.000215328 -0.000227375 1.0354 0.96074
141 0.00021316 -0.000224905 1.03508 0.961122
142 0.000211015 -0.000222462 1.03476 0.9615
143 0.000208893 -0.000220046 1.03444 0.961873
144 0.000206794 -0.000217656 1.03413 0.962242
145 0.000204716 -0.000215292 1.03382 0.962608
146 0.00020266 -0.000212953 1.03351 0.962969
147 0.000200626 -0.00021064 1.03321 0.963326
148 0.000198614 -0.000208352 1.03291 0.963679
149 0.000196622 -0.000206089 1.03261 0.964029
150 0.000194652 -0.000203851 1.03232 0.964375
151 0.000192702 -0.000201637 1.03203 0.964716
152 0.000190773 -0.000199447 1.03174 0.965055
153 0.000188864 -0.000197281 1.03145 0.965389
154 0.000186975 -0.000195138 1.03117 0.96572
155 0.000185105 -0.000193019 1.0309 0.966047
156 0.000183256 -0.000190923 1.03062 0.966371
157 0.000181426 -0.000188851 1.03035 0.966691
158 0.000179614 -0.0001868 1.03008 0.967007
159 0.000177822 -0.000184772 1.02981 0.967321
160 0.000176049 -0.000182767 1.02955 0.967631
161 0.000174294 -0.000180783 1.02929 0.967937
162 0.000172558 -0.000178821 1.02903 0.96824
