Iteration max_z min_z max_grad min_grad
1 0.596596 1.97699e-43 0.822629 0.129956
2 0.0567619 1.36972e-44 1.16791 0.81064
3 0.0128852 -0.00975817 1.1757 0.905581
4 0.00664239 -0.00980514 1.14015 0.929336
5 0.00482285 -0.00769301 1.1278 0.937466
6 0.00388243 -0.00618344 1.12003 0.941584
7 0.00333146 -0.00515497 1.11236 0.942627
8 0.00293707 -0.0044231 1.10501 0.9444
9 0.00263176 -0.00387963 1.09809 0.9468
10 0.00238413 -0.00346145 1.09166 0.94958
11 0.00217634 -0.00312951 1.08575 0.952552
12 0.0019975 -0.00286965 1.08032 0.955141
13 0.00184061 -0.00265727 1.07535 0.957522
14 0.00170093 -0.00246846 1.07081 0.959885
15 0.00157517 -0.00229836 1.06665 0.962199
16 0.00146098 -0.00214367 1.06283 0.964443
17 0.00135661 -0.00200205 1.05933 0.966605
18 0.00126075 -0.00187177 1.0561 0.968675
19 0.00117237 -0.00175153 1.05312 0.970648
20 0.00109065 -0.00164027 1.05036 0.972523
21 0.00101494 -0.00153714 1.0478 0.9743
22 0.000947103 -0.00144142 1.04543 0.975978
23 0.000887297 -0.0013556 1.04322 0.977562
24 0.000831471 -0.00127576 1.04115 0.979054
25 0.000779295 -0.00120111 1.03923 0.980457
26 0.000730482 -0.00113126 1.03743 0.981775
27 0.000684777 -0.00106588 1.03574 0.983012
28 0.000641957 -0.00100466 1.03415 0.984173
29 0.000601818 -0.000947324 1.03267 0.985261
30 0.000564177 -0.000893617 1.03127 0.98628
31 0.000528868 -0.000843301 1.02995 0.987235
32 0.000495738 -0.000796154 1.02871 0.988128
33 0.000464647 -0.000751971 1.02754 0.988964
34 0.000435465 -0.000710557 1.02644 0.989746
35 0.000408073 -0.000671733 1.0254 0.990477
36 0.000382359 -0.00063533 1.02441 0.991161
37 0.00035822 -0.000601188 1.02348 0.9918
38 0.000335558 -0.000569162 1.0226 0.992398
39 0.000314283 -0.000539112 1.02176 0.992956
40 0.000294312 -0.000510909 1.02097 0.993102
41 0.000275564 -0.000484432 1.02022 0.993163
42 0.000257965 -0.000459569 1.0195 0.99323
43 0.000241445 -0.000436214 1.01882 0.993302
44 0.00022594 -0.00041427 1.01818 0.993378
45 0.000211388 -0.000393644 1.01757 0.993459
46 0.000197731 -0.000374251 1.01698 0.993543
47 0.000184915 -0.000356011 1.01643 0.99363
48 0.000172889 -0.00033885 1.0159 0.993719
49 0.000161605 -0.000322699 1.0154 0.993811
50 0.000151018 -0.000307492 1.01491 0.993904
51 0.000141086 -0.000293169 1.01445 0.993999
52 0.000131769 -0.000279673 1.01402 0.994095
53 0.00012303 -0.000266953 1.0136 0.994191
54 0.000114834 -0.000254958 1.0132 0.994288
55 0.000107147 -0.000243644 1.01281 0.994386
56 9.99385e-05 -0.000232967 1.01245 0.994483
57 9.31795e-05 -0.000222887 1.01209 0.994581
58 8.68424e-05 -0.000213367 1.01176 0.994678
